DateTime,Appliances,lights,T1,RH_1,T2,RH_2
2016-01-11 17:20:00,50,30,19.89,46.3,19.2,44.6266666666667
2016-01-11 17:30:00,50,40,19.89,46.0666666666667,19.2,44.59
2016-01-11 17:40:00,60,40,19.89,46.33333333333329,19.2,44.53
2016-01-11 17:50:00,50,40,19.89,46.0266666666667,19.2,44.5
2016-01-11 18:00:00,60,nan,19.89,45.7666666666667,19.2,44.5
2016-01-11 18:10:00,60,50,19.8566666666667,45.56,19.2,44.5
2016-01-11 18:20:00,nan,40,19.79,45.5975,19.2,44.433333333333294
2016-01-11 18:30:00,70,40,19.8566666666667,46.09,19.23,44.4
2016-01-11 18:40:00,230,70,nan,45.863333333333294,19.3566666666667,44.4
2016-01-11 18:50:00,580,60,20.066666666666695,46.3966666666667,19.4266666666667,44.4
2016-01-11 19:00:00,430,50,20.1333333333333,48.0,19.566666666666695,44.4
2016-01-11 19:10:00,250,40,20.26,52.7266666666667,19.73,45.1
2016-01-11 19:20:00,100,10,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329
2016-01-11 19:30:00,100,10,20.566666666666695,53.893333333333295,20.033333333333296,46.7566666666667
2016-01-11 19:40:00,90,10,20.73,52.66,20.1666666666667,47.223333333333294
2016-01-11 19:50:00,70,30,20.8566666666667,53.66,20.2,47.05666666666671
2016-01-11 20:00:00,80,30,20.89,51.19333333333329,20.2,46.33
2016-01-11 20:10:00,140,40,20.89,49.8,20.2,46.0266666666667
2016-01-11 20:20:00,120,20,20.89,48.433333333333294,20.2,45.7225
2016-01-11 20:30:00,190,40,20.963333333333296,47.6333333333333,20.26,45.53
2016-01-11 20:40:00,110,40,21.033333333333296,47.0633333333333,20.29,45.223333333333294
2016-01-11 20:50:00,110,40,21.1,46.59666666666671,20.3566666666667,44.963333333333296
2016-01-11 21:00:00,110,30,21.1333333333333,46.06,20.4266666666667,44.76
2016-01-11 21:10:00,110,20,21.2,45.8,20.5,44.76
2016-01-11 21:20:00,100,30,21.29,45.9,20.533333333333296,45.09
2016-01-11 21:30:00,100,20,21.3566666666667,45.8266666666667,20.6666666666667,45.1633333333333
2016-01-11 21:40:00,100,20,21.39,45.69,20.7,45.06
2016-01-11 21:50:00,100,20,21.5,45.33333333333329,20.7,44.933333333333294
2016-01-11 22:00:00,110,20,21.5,45.1266666666667,nan,44.6333333333333
2016-01-11 22:10:00,400,20,21.533333333333296,44.9666666666667,20.79,44.36
2016-01-11 22:20:00,400,20,21.6,44.7666666666667,20.89,44.223333333333294
2016-01-11 22:30:00,390,30,21.6,44.56,20.963333333333296,43.963333333333296
2016-01-11 22:40:00,240,20,21.6,44.36,21.0,43.83333333333329
2016-01-11 22:50:00,60,20,21.6,44.2,nan,43.7
2016-01-11 23:00:00,60,20,21.6,44.2,21.0,43.59
2016-01-11 23:10:00,60,20,21.6,44.2,21.0,43.59
2016-01-11 23:20:00,50,10,21.6,44.2,21.0,43.7
2016-01-11 23:30:00,70,20,21.5,44.23,20.9266666666667,43.76
2016-01-11 23:40:00,60,20,21.5,44.363333333333294,20.89,43.845
2016-01-11 23:50:00,40,20,21.39,44.433333333333294,20.79,43.79
2016-01-12 00:00:00,40,10,nan,44.56,20.79,43.863333333333294
2016-01-12 00:10:00,30,20,21.29,44.8266666666667,20.7,44.0
2016-01-12 00:20:00,40,nan,21.29,44.9666666666667,20.6333333333333,44.0
2016-01-12 00:30:00,50,20,21.26,45.09,20.6,44.03
2016-01-12 00:40:00,310,10,21.2,45.09,20.6,44.09
2016-01-12 00:50:00,380,20,21.1666666666667,45.23,20.5,44.1266666666667
2016-01-12 01:00:00,380,20,21.075,45.3725,20.5,44.2
2016-01-12 01:10:00,370,20,21.0,45.4,20.39,44.2
2016-01-12 01:20:00,120,10,nan,45.59,20.39,44.26
2016-01-12 01:30:00,50,0,20.9266666666667,nan,20.29,44.29
2016-01-12 01:40:00,40,0,20.89,45.66666666666671,nan,44.29
2016-01-12 01:50:00,50,0,20.89,46.06,20.2,44.4
2016-01-12 02:00:00,40,0,20.79,46.2,20.2,44.4666666666667
2016-01-12 02:10:00,50,0,20.79,46.2,20.1,44.53
2016-01-12 02:20:00,50,0,20.7,nan,20.1,44.59
2016-01-12 02:30:00,50,0,20.7,46.2,20.0,44.433333333333294
2016-01-12 02:40:00,40,0,20.6,46.2,20.0,44.5
2016-01-12 02:50:00,40,0,20.6,46.1266666666667,20.0,44.5
2016-01-12 03:00:00,30,0,20.566666666666695,46.0666666666667,19.89,44.59
2016-01-12 03:10:00,20,0,20.5,46.2,19.823333333333295,44.53
2016-01-12 03:20:00,20,0,20.5,46.29,19.79,44.53
2016-01-12 03:30:00,40,0,20.4266666666667,46.23,19.79,44.53
2016-01-12 03:40:00,50,0,nan,46.29,19.76,44.59
2016-01-12 03:50:00,50,0,20.39,46.363333333333294,nan,44.59
2016-01-12 04:00:00,40,0,20.29,46.5,19.7,44.7
2016-01-12 04:10:00,50,0,20.29,46.545,19.6333333333333,44.6266666666667
2016-01-12 04:20:00,40,0,20.23,46.5,19.6,44.59
2016-01-12 04:30:00,40,0,20.2,46.433333333333294,19.6,44.59
2016-01-12 04:40:00,40,0,20.2,46.56,19.566666666666695,44.7
2016-01-12 04:50:00,60,0,20.1666666666667,46.363333333333294,19.5,44.7
2016-01-12 05:00:00,50,0,20.1,46.363333333333294,19.5,44.79
2016-01-12 05:10:00,50,0,20.1,46.5,19.4266666666667,44.73
